Location,Sample,Male,Female,Lat,Size
Procerior,foulehaio_procerior_22540,102.1,89.3,-17.8,10390
Vanua,foulehaio_taviunensis_waho_fjos_85_val,97.6,89.18,-16.6,5587
Matuku,foulehaio_carunculatus_26425,104.5,89.3,-19.16,57
Ono,foulehaio_carunculatus_26309,110,96.5,-20.65,7.9
Ogea,foulehaio_carunculatus_26352,107.5,92.8,-19.15,13.3
Fulaga,foulehaio_carunculatus_26385,108,96,-19.15,18.5
Futuna,foulehaio_carunculatus_waho_2012_162_al,95.8,84.1,-14.28,115
Upolu,foulehaio_carunculatus_rbu_2012_356,100.8,91.5,-13.94,1125
Savaii,foulehaio_carunculatus_jos_sa_142_waho,98.5,87.2,-13.26,1694
Tutilla,foulehaio_carunculatus_rbu_2012_053,105.8,94.4,-14.3,142.3
Manua,foulehaio_carunculatus_waho_311_tau,110.8,93.8,-14.2,56
Tonga,foulehaio_carunculatus_rbu_2012_192,108.3,95.6,-20,10
